Sno	Code	ProductName	Qty	UOM	Rate	Value()	MainCat	SubCat
448	3967	POOVAAM PALAM	8	KGS	41.875	335	FRUITS	BANANA VARIETIES
449	2048	POTATO -BIG	2267	KGS	29.856638	67685	VEGETABLES	REGULAR VEGETABLES
450	116	POTATO CHIPS [SALT]	160	KGS	530.36	84857.6	SAVOURIES	SAVOURIES - CHIPS ITEMS [KGS]
451	22960	POTATO CHIPS CHILLY [60GMS]	310	NOS	32.14	9963.4	SAVOURIES	SAVOURIES - CHIPS ITEMS [NOS]
452	22961	POTATO CHIPS SALT [60GMS]	250	NOS	32.14	8035	SAVOURIES	SAVOURIES - CHIPS ITEMS [NOS]
453	104	POTATO MASALA CHIPS	5	KGS	562.5	2812.5	SAVOURIES	SAVOURIES - CHIPS ITEMS [KGS]
454	20346	POTATO SWEETS MIXTURE [250 GM]	30	NOS	136.61	4098.3	SAVOURIES	SAVOURIES - MIXTURE ITEMS [NOS]
455	24459	POTATO SWEETS MIXTURE( 150GM)	10	NOS	66.29	662.9	SAVOURIES	PACKED - SAVOURIES
456	3322	POWDER - W.PEPPER	3	KGS	950.53	2851.59	RAW MATERIALS	SPICES AND MASALA
457	9483	POWER PAD	10	PICES	100.3	1003	RAW MATERIALS	CLEANING MATERIALS
458	22555	PREMIUM KAJU KATHILY	200.015	KGS	1114.29	222874.71	SWEETS	DRY FRUIT SWEETS [KGS]
459	40156	PREMIUM KAJU PISTHA ROLL	32.4	KGS	1371.43	44434.33	SWEETS	DRY FRUIT SWEETS [KGS]
460	29001	PREMIUM TEA POWDER	43	KGS	351.945348	15133.65	RAW MATERIALS	POWDER ITEMS
461	8811	PUDHINA THOKKU (400GMS)	18	NOS	184.82	3326.76	SAVOURIES	RICE MIXES
462	107691	PUDINA (KGS)	84	KGS	26.238095	2204	VEGETABLES	KEERAI(GREENS) VARIETIES
463	130	PULI KACHAL [400 GM]	40	NOS	184.82	7392.8	SAVOURIES	RICE MIXES
464	21013	PULIYOGARE MIX [200 GMS]	10	NOS	76.34	763.4	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
465	2027	PUMPKIN	59.6	KGS	14.580536	869	VEGETABLES	REGULAR VEGETABLES
466	2010	RADISH - WHITE	59	KGS	33.220338	1960	VEGETABLES	REGULAR VEGETABLES
467	2246	RADISH (RED)	13.5	KGS	126.296296	1705	VEGETABLES	EXOTIC VEGETABLES
468	24466	RAJA PALAYAM MIXTURE(100)	140	NOS	44.2	6188	SAVOURIES	PACKED - SAVOURIES
469	24325	RAJA PALAYAM MIXTURE(200GM)	240	NOS	88.39	21213.6	SAVOURIES	PACKED - SAVOURIES
470	474	RAJAPALAYAM KARA KULAMBU [400 GMS]	20	NOS	175.43	3508.6	SAVOURIES	RICE MIXES
471	22220	RAJAPALAYAM KARA SAV 200 GRAMS	60	NOS	80.36	4821.6	SAVOURIES	PACKED - SAVOURIES
472	41150	RAJAPALAYAM MINI MURUKKU 200GM	120	NOS	88.39	10606.8	SAVOURIES	PACKED - SAVOURIES
473	40661	RAJAPALAYAM PAKODA BOX	196	NOS	84.38	16538.48	SAVOURIES	PACKED - SAVOURIES
474	331	RAJAPALAYAM THATTAI	282	KGS	401.79	113304.78	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [KGS]
475	20699	RAJAPALAYAM THATTAI 250 GMS	560	NOS	100.45	56252	SAVOURIES	SAVOURIES - CASHEW ITEMS [NOS]
476	67	RASA BERRY	10.37	KGS	600	6222	SWEETS	BENGALI SWEETS [KGS]
477	135	RASA MALAI [EACH ]	661	NOS	40.28	26625.08	SWEETS	BENGALI SWEETS [NOS]
478	134	RASAGULLA [ EACH ]	150	NOS	31.5	4725	SWEETS	BENGALI SWEETS [NOS]
479	8925	RAVA IDLY MIX [200GM]	10	NOS	34.33	343.3	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
480	39	RAVA LADDU	3.56	KGS	565.71	2013.93	SWEETS	GHEE SWEETS [KGS]
481	24261	RAVA LADDU [100 GMS]	10	NOS	47.14	471.4	SWEETS	GHEE SWEETS [NOS]
482	3455	RAVA RICE	26.8	KGS	31.940298	856	RAW MATERIALS	CEREALS AND PULSES
483	2433	RAW RICE [PONNI PONGAL]	650	KGS	37.7	24505	RAW MATERIALS	CEREALS AND PULSES
484	2157	RED CABBAGE	13.2	KGS	126.212121	1666	VEGETABLES	EXOTIC VEGETABLES
485	3286	RED CHERRY TIN	1	Tins	131.25	131.25	RAW MATERIALS	DRY FRUITS AND NUTS
486	3093	RED CHILLY	52	KGS	207.536538	10791.9	RAW MATERIALS	SPICES AND MASALA
487	102692	REFINED SULPHUR FREE SUGAR(ICUMSA GS 2/3-10 60IU,SULPHUR-DI-OXIDE,MAX,2.0 SULPHUR FREE PROCESS)	553	KGS	42.95	23751.35	RAW MATERIALS	SUGAR AND ALLIED PRODUCTS
488	107291	REFINED SUNFLOWER OIL ( 1 KG )	1935	KGS	100.354573	194186.1	RAW MATERIALS	OIL & GHEE ITEMS
489	36087	REFLECTIVE JACKET	2	NOS	2	4	STATIONARY ITEMS	UNIFORMS
490	22258	RIBBON PAKODA 200 GRMS	270	NOS	80.36	21697.2	SAVOURIES	PACKED - SAVOURIES
491	101	RIBBON POKODA	255	KGS	401.79	102456.45	SAVOURIES	SAVOURIES - PAKODA ITEMS
492	106135	RICE VADAMS (GST 5)	64	KGS	88.325	5652.8	RAW MATERIALS	VATHAL & VADAMS
493	101904	RIPPLE CUP 130ML(4OZ)	10900	NOS	2.080275	22675	PACKING MATERIALS	SERVICE MATERIAL-PACKING
494	101899	RIPPLE CUP 270ML(8 OZ ITC WATER BASED BIO COATING)	500	NOS	3.72	1860	PACKING MATERIALS	SERVICE MATERIAL-PACKING
495	22073	ROSE MILK	318	NOS	51.43	16354.74	SWEETS	MILK SWEETS [NOS]
496	102093	ROSE WATER (500ML)	2	NOS	64.9	129.8	RAW MATERIALS	ESSENCE COLOURS AND FLAVOURS
497	40962	ROSTED MILK BURFI	23.23	KGS	600	13938	SWEETS	MILK SWEETS [KGS]
498	104346	ROUND 1000ML CONTAINER	100	NOS	7.67	767	PACKING MATERIALS	PACKING MATERIALS
499	104347	ROUND 1500 ML CONTAINER	100	NOS	11.15	1115	PACKING MATERIALS	PACKING MATERIALS
500	102038	ROUND MOP BELL TYPE	6	NOS	94.4	566.4	RAW MATERIALS	CLEANING MATERIALS
501	5925	RUBBER ( NATARAJ)	1	BOXES	1.05	1.05	STATIONARY ITEMS	STATIONARY ITEMS
502	5931	RULED NOTE SMALL ( 192)	3	NOS	28	84	STATIONARY ITEMS	STATIONARY ITEMS
503	23490	SALTED AND JEERA BISCUITS 200 GMS	5	NOS	95.34	476.7	BAKERY	BISCUITS
504	236	SAMBAR PODI[100GMS]	20	NOS	51.43	1028.6	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
505	8224	SANDWICH BREAD	42	NOS	45.124523	1895.23	RAW MATERIALS	SF.RAW MATERIALS
506	29781	SAPPOTA (KGS)	23	KGS	80	1840	FRUITS	REGULAR FRUITS
507	15979	SCISSOR(SMALL)	1	NOS	29.5	29.5	STATIONARY ITEMS	STATIONARY ITEMS
508	29055	SCOTCH BRITE	32	NOS	18.88	604.16	RAW MATERIALS	CLEANING MATERIALS
509	22924	SEEDAI (100 GMS)	350	NOS	40.18	14063	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [NOS]
510	21674	SEEDAI [200 GMS]	320	NOS	80.36	25715.2	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [NOS]
511	41137	SEEP SEEDAI (200 GRM)	20	NOS	88.39	1767.8	SAVOURIES	PACKED - SAVOURIES
512	107697	SEERU KEERAI (KGS)	51.9	KGS	23.643545	1227.1	VEGETABLES	KEERAI(GREENS) VARIETIES
513	23738	SF.ANDHRA PARUPPU POWDER	12	KGS	146.86	1762.32	RAW MATERIALS	SF.SPICES AND MASALA
514	8763	SF.BABYCORN(CHINEESE) FRESH [KGS]	1	KGS	115	115	SEMI FINISHED	SF.CHINEESE
515	20278	SF.BADAM MIX	3	KGS	144.07	432.21	RAW MATERIALS	SF.SPICES AND MASALA
516	8754	SF.BASMATHI (CHINEESE)	9	KGS	33.334444	300.01	SEMI FINISHED	SF.CHINESE FRIED RICE
517	2589	SF.CHAPPATHI	30	NOS	4.51	135.3	SEMI FINISHED	SF.BATTER
518	8967	SF.CHENNA MASALA (NORTH INDIAN)	156.64	KGS	80.544842	12616.54	SEMI FINISHED	SF.NORTH INDIAN
519	1604	SF.DOSAI FLOUR	5	KGS	28.82	144.1	SEMI FINISHED	SF.BATTER
520	24499	SF.DOSAI FLOUR [ STAFF ]	9	KGS	45.74	411.66	SEMI FINISHED	SF.BATTER
521	22471	SF.GREEN CHATNI (CHAT)	33	KGS	76.445909	2522.72	SEMI FINISHED	SF.CHAT
522	485	SF.IMILY CHATNY	55	KGS	36.81	2024.55	SEMI FINISHED-SWEET & SAV	SEMI FINISHED-CHAT
523	538	SF.LASOON CHATNY	9.5	KGS	97.768947	928.8	SEMI FINISHED	SF.CHAT
524	2510	SF.LEMON RICE	10	KGS	48.6	486	SEMI FINISHED	SF.VARIETY RICE
525	143	SF.MOTE CHENNA CHAT	15.39	KGS	41.32	635.91	SEMI FINISHED	SF.CHAT
526	8759	SF.MUSHROOM (CHINEESE) FRESH	3	KGS	165	495	SEMI FINISHED	SF.CHINEESE
527	8755	SF.NOODLES	1	KGS	38.18	38.18	SEMI FINISHED	SF.CHINESE NOODLES
528	8757	SF.PANNEER (CHINEESE)	4	KGS	265	1060	SEMI FINISHED	SF.CHINEESE
529	102013	SF.RAJAPALAYAM SAMBAR PODI	10	KGS	237.99	2379.9	RAW MATERIALS	SF.SPICES AND MASALA
530	1647	SF.RAVA DOSA FLOOR	6	KGS	27.8	166.8	SEMI FINISHED	SF.BATTER
531	1602	SF.SAMBAR[TIFFAN]	3	KGS	43.29	129.87	SEMI FINISHED	SF.SAMBAR MEALS
532	23464	SF.SAMOSA (EACH)	1265	NOS	9.3083	11775	SEMI FINISHED-SWEET & SAV	SEMI FINISHED-CHAT
533	492	SF.SWEET CHATNY	3	KGS	32.23	96.69	SEMI FINISHED	SF.CHAT
534	5981	SHARPENER	1	NOS	2.95	2.95	STATIONARY ITEMS	STATIONARY ITEMS
535	243	SHON HALWA	9.58	KGS	600	5748	SWEETS	GHEE SWEETS [KGS]
536	104587	SILVER CRAFT POUCHES 100 GRM(105X160MM)	4400	NOS	4.02	17688	PACKING MATERIALS	PACKING MATERIALS
537	105194	SILVER CRAFT POUCHES 500 GRM(180X230MM)	300	NOS	6.24	1872	PACKING MATERIALS	PACKING MATERIALS
538	22216	SIRAI PAKODA 200 GRAMS	90	NOS	80.36	7232.4	SAVOURIES	PACKED - SAVOURIES
539	3120	SIRU PARUPPU	450	KGS	115.333333	51900	RAW MATERIALS	CEREALS AND PULSES
540	3039	SMALL CHENNA	13	KGS	73	949	RAW MATERIALS	CEREALS AND PULSES
541	3289	SOFT - BROOM	15	NOS	110	1650	RAW MATERIALS	CLEANING MATERIALS
542	3019	SOMBU	9	KGS	263.55	2371.95	RAW MATERIALS	SPICES AND MASALA
543	3133	SOOJI RAVA	343	KGS	43.693586	14986.9	RAW MATERIALS	CEREALS AND PULSES
544	3495	SOYA SAUCE	32	BOTLS	48.72	1559.04	RAW MATERIALS	SAUCES & SYRUP
545	8467	SPL BADAM MILK	367	NOS	81.923188	30065.81	SWEETS	MILK SWEETS [NOS]
546	21627	SPL BAKLAWA ASSORTED SWEETS	15.632	KGS	1200	18758.4	SWEETS	ASSORTED
547	71	SPL BENGALI	14.36	KGS	605.107033	8689.34	SWEETS	BENGALI SWEETS [KGS]
548	101059	SPL CHILLY POWDER	10	KGS	745.5	7455	RAW MATERIALS	SPICES AND MASALA
549	40323	SPL COMBO BOX	7	NOS	265.18	1856.26	SAVOURIES	PACKED - SAVOURIES
550	1059	SPL DRY FRUIT HALWA	17.67	KGS	942.86	16660.34	SWEETS	DRY FRUIT SWEETS [KGS]
551	7533	SPL DRY FRUIT SWEET	1.46	KGS	1371.43	2002.29	SWEETS	DRY FRUIT SWEETS [KGS]
552	20186	SPL GIFT BOX [ 1200 ]	2	NOS	1028.57	2057.14	SWEETS	DRY FRUIT SWEETS [NOS]
553	20469	SPL GIFT BOX [1300]	3	NOS	1157.15	3471.45	SWEETS	GIFT PACK ASSORTED SWEETS
554	356	SPL GIFT BOX [BIG]	3	NOS	634.29	1902.87	SWEETS	GIFT PACK ASSORTED SWEETS
555	358	SPL GIFT BOX [SMALL]	6	NOS	342.86	2057.16	SWEETS	GIFT PACK ASSORTED SWEETS
556	313	SPL LADDU	54.545	KGS	617.14	33661.9	SWEETS	GHEE SWEETS [KGS]
557	1443	SPL MASALA CASHEWNUT [250GMS]	15	NOS	401.79	6026.85	SAVOURIES	SAVOURIES - CASHEW ITEMS [NOS]
558	442	SPL MINI HAND MURUKU	2	KGS	417.86	835.72	SAVOURIES	SAVOURIES - MURUKKU ITEMS [KGS]
559	51	SPL MYSORE PAK	267.775	KGS	600	160665	SWEETS	GHEE SWEETS [KGS]
560	29298	SPL RESTAURENT PONNI RICE	3614	KGS	62.190647	224757	RAW MATERIALS	CEREALS AND PULSES
561	3380	SPL. GARLIC	123.5	KGS	189.190283	23365	VEGETABLES	VEGETABLES
