Sno	Code	ProductName	Qty	UOM	Rate	Value()	MainCat	SubCat
61	100864	CORN FLOUR ( ROQUETTE)	6.6	KGS	45.847454	302.59	RAW MATERIALS	SF.RAW MATERIALS
62	3727	COW MILK	19	LTRS	33.3	632.7	MILK & ALLIED PRODUCTS	MILK & ALLIED PRODUCTS
63	2356	CURDS - CM	334.42	KGS	40	13376.8	SEMI FINISHED	SF.MILK ITEMS
64	3228	DHANIYA POWDER	44.384	KGS	132.04602	5860.73	RAW MATERIALS	SPICES AND MASALA
65	4291	DISPOSABLE MASK	700	NOS	0.9	630	PACKING MATERIALS	PACKING MATERIALS
66	4290	DISPOSAL HEAD CAP	3100	NOS	0.723548	2243	PACKING MATERIALS	PACKING MATERIALS
67	104578	DOMEX	6	LTRS	132.16	792.96	RAW MATERIALS	CLEANING MATERIALS
68	4237	DOSA PARCEL PAPER A2B	50	NOS	1.06	53	PACKING MATERIALS	PARCEL MATERIAL-PACKING
69	108056	DOSA TRAY 4CP WITH LOGO-WEIGHT-68 GRMS	180	NOS	15.93	2867.4	PACKING MATERIALS	PACKING MATERIALS
70	2073	DRUMSTICK	235.532	KGS	37.552591	8844.84	VEGETABLES	REGULAR VEGETABLES
71	3236	FLOUR - RICE	130.289	KGS	29.775743	3879.45	RAW MATERIALS	FLOUR
72	3225	FRIED  GROUNDNUT	12.458	KGS	164.565201	2050.15	RAW MATERIALS	CEREALS AND PULSES
73	101992	FRIED GRAM DHALL (N t)	40.631	KGS	78.94	3207.41	RAW MATERIALS	SF.RAW MATERIALS
74	3025	GARAM MASALA POWDER	6.559	KGS	555.81	3645.56	RAW MATERIALS	SPICES AND MASALA
75	3056	GARLIC	146.307	KGS	143.282166	20963.18	VEGETABLES	VEGETABLES
76	105752	GHEE [ 1 KG ]	289.948	KGS	415.66	120519.79	RAW MATERIALS	OIL & GHEE ITEMS
77	2016	GINGER	142.435	KGS	144.602007	20596.39	VEGETABLES	GINGER & GARLIC ITEMS
78	105750	GINGLY OIL [ 1 KG ]	261.796	KGS	342.931014	89777.97	RAW MATERIALS	OIL & GHEE ITEMS
79	35517	GLASS CLEANING LIQUID	2	NOS	37.64	75.28	RAW MATERIALS	CLEANING MATERIALS
80	3087	GRAM DHALL (50KG BAG)	189.316	KGS	78.919351	14940.7	RAW MATERIALS	CEREALS AND PULSES
81	2005	GREEN CHILLY	286.381	KGS	72.410917	20737.11	VEGETABLES	REGULAR VEGETABLES
82	101820	GREEN DHANIYA	43.349	KGS	131.631908	5706.11	RAW MATERIALS	CEREALS AND PULSES
83	3065	GREEN PEAS	7.446	KGS	96.07467	715.37	RAW MATERIALS	CEREALS AND PULSES
84	2055	GREEN PEAS [VEG]	98.455	KGS	105	10337.77	VEGETABLES	REGULAR VEGETABLES
