Sno	Code	Item Name	Qty	UOM	Rate	Value()	MainCat	SubCat
605	7403	ONION RAVA MASALA DOSAI	51	NOS	145	7764.75	SOUTH INDIAN	DOSA VARIETIES
606	23350	ONION RUSK 200 GMS	10	NOS	95.24	1000	BAKERY	BREAD
607	377	ONION THOKKU [400 GM]	16	NOS	205.36	3680	SAVOURIES	RICE MIXES
608	377	ONION THOKKU [400 GM]	1	NOS	258.93	255.2	SAVOURIES	RICE MIXES
609	863	ONION UTHAPPAM	149	NOS	140	18330.88	SOUTH INDIAN	UTHAPPAM VARIETIES
610	863	ONION UTHAPPAM	583	NOS	155	94875.11	SOUTH INDIAN	UTHAPPAM VARIETIES
611	40203	ORANGE DIVINE	3.63	KGS	1333.33	5082	SWEETS	DRY FRUIT SWEETS [KGS]
612	194	ORANGE JUICE	127	NOS	105	14001.75	JUICE & MILK SHAKES	FRESH JUICE
613	194	ORANGE JUICE	259	NOS	110	29908.73	JUICE & MILK SHAKES	FRESH JUICE
614	40410	ORANGE NATURAL	0.735	KGS	1428.57	1102.5	SWEETS	DRY FRUIT SWEETS [KGS]
615	1040	PALAK PANEER	5	NOS	245	1286.25	NORTH INDIAN	PALAK
616	1040	PALAK PANEER	48	NOS	250	12600	NORTH INDIAN	PALAK
617	22505	PALMSUGAR KAJU KATHILY	13.535	KGS	1333.33	18949	SWEETS	DRY FRUIT SWEETS [KGS]
618	22505	PALMSUGAR KAJU KATHILY	0.5	KGS	1619.05	786.25	SWEETS	DRY FRUIT SWEETS [KGS]
619	1058	PANEEER BUTTER MASALA	64	NOS	245	16464	NORTH INDIAN	SUBJEES
620	1058	PANEEER BUTTER MASALA	336	NOS	250	88200	NORTH INDIAN	SUBJEES
621	1058	PANEEER BUTTER MASALA	107	NOS	285	25746.13	NORTH INDIAN	SUBJEES
622	1016	PANEER 65	16	NOS	235	3948	CHINESE	CHINESE STARTERS
623	1016	PANEER 65	117	NOS	240	29484	CHINESE	CHINESE STARTERS
624	1016	PANEER 65	30	NOS	275	7001.36	CHINESE	CHINESE STARTERS
625	8221	PANEER 65- PUFFS	59	NOS	50.85	3540.12	BAKERY	PUFFS
626	964	PANEER ACHARI TIKKA	33	NOS	250	8662.5	TANDOORI	TANDOORI VARIETIES
627	1041	PANEER BUJIA	1	NOS	290	304.5	NORTH INDIAN	SUBJEES
628	8102	PANEER BURJI	11	NOS	290	3349.5	NORTH INDIAN	SUBJEES
629	1957	PANEER DOSAI	304	NOS	165	52668	SOUTH INDIAN	DOSA VARIETIES
630	923	PANEER FRIED RICE	33	NOS	225	7796.25	CHINESE	FRIED RICE
631	923	PANEER FRIED RICE	186	NOS	230	44919	CHINESE	FRIED RICE
632	923	PANEER FRIED RICE	61	NOS	270	13957.78	CHINESE	FRIED RICE
633	56	PANEER JAMOON	93.42	KGS	666.67	65385.25	SWEETS	BENGALI SWEETS [KGS]
634	56	PANEER JAMOON	6.75	KGS	819.05	4842.85	SWEETS	BENGALI SWEETS [KGS]
635	84	PANEER JILEBI	0.555	KGS	666.67	388.5	SWEETS	GHEE SWEETS [KGS]
636	8779	PANEER MANCHURIAN DRY	8	NOS	235	1974	CHINESE	CHINESE - DRY & GRAVY
637	8779	PANEER MANCHURIAN DRY	31	NOS	240	7812	CHINESE	CHINESE - DRY & GRAVY
638	8779	PANEER MANCHURIAN DRY	24	NOS	275	5469.33	CHINESE	CHINESE - DRY & GRAVY
639	933	PANEER MANCHURIAN GRAVY	2	NOS	245	514.5	CHINESE	CHINESE - DRY & GRAVY
640	933	PANEER MANCHURIAN GRAVY	15	NOS	250	3937.5	CHINESE	CHINESE - DRY & GRAVY
641	933	PANEER MANCHURIAN GRAVY	7	NOS	275	1615.58	CHINESE	CHINESE - DRY & GRAVY
642	7361	PANEER MUSHROOM MASALA	1	NOS	265	278.25	NORTH INDIAN	SUBJEES
643	7361	PANEER MUSHROOM MASALA	11	NOS	270	3118.5	NORTH INDIAN	SUBJEES
644	1135	PANEER NOODLES	3	NOS	225	708.75	CHINESE	NOODLES
645	1135	PANEER NOODLES	60	NOS	230	14490	CHINESE	NOODLES
646	1135	PANEER NOODLES	8	NOS	270	1817.65	CHINESE	NOODLES
647	976	PANEER PARATHA	16	NOS	115	1925.96	TANDOORI	TANDOORI VARIETIES
648	998	PANEER PULAO	3	NOS	225	708.75	NORTH INDIAN	BASUMATI SPECIAL
649	998	PANEER PULAO	15	NOS	230	3622.5	NORTH INDIAN	BASUMATI SPECIAL
650	998	PANEER PULAO	25	NOS	250	5404.24	NORTH INDIAN	BASUMATI SPECIAL
651	1847	PANEER TIKKA MASALA	1	NOS	265	278.25	NORTH INDIAN	SUBJEES
652	1847	PANEER TIKKA MASALA	75	NOS	270	21262.5	NORTH INDIAN	SUBJEES
653	139	PANI PURI	195	NOS	70	14332.5	CHAT	CHAT SPECIALITIES
654	139	PANI PURI	222	NOS	75	17482.5	CHAT	CHAT SPECIALITIES
655	139	PANI PURI	32	NOS	85	2393.41	CHAT	CHAT SPECIALITIES
656	1929	PANNEER BIRIYANI	28	NOS	225	6615	NORTH INDIAN	BASUMATI SPECIAL
657	1929	PANNEER BIRIYANI	99	NOS	230	23908.5	NORTH INDIAN	BASUMATI SPECIAL
658	1929	PANNEER BIRIYANI	93	NOS	260	20272.58	NORTH INDIAN	BASUMATI SPECIAL
659	962	PANNEER TIKKA	15	NOS	245	3858.75	TANDOORI	TANDOORI STARTERS
660	962	PANNEER TIKKA	184	NOS	250	48286.88	TANDOORI	TANDOORI STARTERS
661	8219	PANNER PUFFS - [BKERY]	128	NOS	25.42	3839.72	BAKERY	PUFFS
662	8220	PANNER TIKKI -PUFFS	49	NOS	50.85	2940.14	BAKERY	PUFFS
663	853	PAPER DOSAI	55	NOS	145	8373.75	SOUTH INDIAN	DOSA VARIETIES
664	841	PAPER MASALA DOSAI	21	NOS	165	3638.25	SOUTH INDIAN	DOSA VARIETIES
665	880	PARATHA WITH KURMA	1663	NOS	105	183318.19	SOUTH INDIAN	PARATHA VARIETIES
666	880	PARATHA WITH KURMA	276	NOS	110	26136.51	SOUTH INDIAN	PARATHA VARIETIES
667	7553	PAROTTA EACH	95	NOS	52.5	5237.34	SOUTH INDIAN	PARATHA VARIETIES
668	239	PARUPPU PODI [100GMS]	43	NOS	38.1	1718.43	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
669	7370	PARUPPU PODI [200 GM]	29	NOS	76.19	2320	SAVOURIES	PODI ITEMS
670	7370	PARUPPU PODI [200 GM]	7	NOS	95.24	599.72	SAVOURIES	PODI ITEMS
671	164	PAV BHAJI	236	NOS	120	29736	CHAT	PAV BHAJI
672	164	PAV BHAJI	264	NOS	125	34650	CHAT	PAV BHAJI
673	21012	PAYASAM MIX [200 GMS]	3	NOS	67.8	240	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
674	21012	PAYASAM MIX [200 GMS]	1	NOS	84.75	88	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
675	473	PEPPER KULAMBU [400 GMS]	3	NOS	194.92	690.03	SAVOURIES	RICE MIXES
676	22923	PEPPER SEV (100 GMS)	310	NOS	44.64	14494.42	SAVOURIES	SAVOURIES - SPECIALITIES [NOS]
677	40688	PEPPER SEV 200 GRMS	140	NOS	89.29	13995.01	SAVOURIES	PACKED - SAVOURIES
678	40688	PEPPER SEV 200 GRMS	15	NOS	98.21	1377.77	SAVOURIES	PACKED - SAVOURIES
679	8858	PIECES CHOCOLATE SPL	178	PICES	25.42	5339.26	BAKERY	CHOCOLATES - BKRY
680	188	PINE APPLE JUICE	26	NOS	100	2730	JUICE & MILK SHAKES	FRESH JUICE
681	188	PINE APPLE JUICE	18	NOS	105	1984.5	JUICE & MILK SHAKES	FRESH JUICE
682	188	PINE APPLE JUICE	82	NOS	110	9471	JUICE & MILK SHAKES	FRESH JUICE
683	8241	PISTA GHEE BISCUITS 250 Gms- COOKIES	53	NOS	186.44	11660	BAKERY	COOKIES
684	1818	PISTA ICE CREAM (PER SCOOP)	2	NOS	110	231	SPECIAL ICE CREAMS	SPECIAL ICE CREAMS
685	1818	PISTA ICE CREAM (PER SCOOP)	36	NOS	115	4347	SPECIAL ICE CREAMS	SPECIAL ICE CREAMS
686	209	PISTA MILK SHAKE	2	NOS	160	336	JUICE & MILK SHAKES	MILK SHAKES
687	209	PISTA MILK SHAKE	19	NOS	165	3291.75	JUICE & MILK SHAKES	MILK SHAKES
688	811	PLAIN DOSAI	3573	NOS	95	356381.81	SOUTH INDIAN	DOSA VARIETIES
689	811	PLAIN DOSAI	550	NOS	100	48606.64	SOUTH INDIAN	DOSA VARIETIES
690	919	PLAIN NAAN	15	NOS	70	1102.5	TANDOORI	TANDOORI BREAD
691	919	PLAIN NAAN	129	NOS	75	10158.75	TANDOORI	TANDOORI BREAD
692	919	PLAIN NAAN	29	NOS	85	2241.96	TANDOORI	TANDOORI BREAD
693	109	PLAINTAIN CHIPS	12.315	KGS	535.71	7389	SAVOURIES	SAVOURIES - CHIPS ITEMS [KGS]
694	8165	PLUM CAKE [100 GRMS]	1	NOS	58.48	69.01	BAKERY	CAKES
695	819	PODI DOSAI	357	NOS	135	50604.75	SOUTH INDIAN	DOSA VARIETIES
696	819	PODI DOSAI	69	NOS	160	9658.99	SOUTH INDIAN	DOSA VARIETIES
697	1858	PODI MASALA DOSAI	71	NOS	155	11555.25	SOUTH INDIAN	DOSA VARIETIES
698	1286	PODI UTHAPPAM	66	NOS	135	9355.5	SOUTH INDIAN	UTHAPPAM VARIETIES
699	193	POMEGRANATE JUICE	91	NOS	100	9555	JUICE & MILK SHAKES	FRESH JUICE
700	193	POMEGRANATE JUICE	97	NOS	105	10688.74	JUICE & MILK SHAKES	FRESH JUICE
701	20759	PONGAL MIX [200 GMS]	9	NOS	59.32	630	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
702	20759	PONGAL MIX [200 GMS]	1	NOS	76.27	90	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
703	544	POORI [1 NOS]	26	NOS	45	1228.5	CHAT	CHAT SPECIALITIES
704	856	POORI [2 NOS]	1651	NOS	90	156014.78	SOUTH INDIAN	SOUTH INDIAN - SPECIALITIES
705	856	POORI [2 NOS]	330	NOS	110	32364.54	SOUTH INDIAN	SOUTH INDIAN - SPECIALITIES
706	1212	POTATO BAJJI	23	NOS	50	1207.5	SOUTH INDIAN	BAJJI
707	116	POTATO CHIPS [SALT]	160	KGS	589.29	95040.69	SAVOURIES	SAVOURIES - CHIPS ITEMS [KGS]
708	22960	POTATO CHIPS CHILLY [60GMS]	253	NOS	35.71	9919.54	SAVOURIES	SAVOURIES - CHIPS ITEMS [NOS]
709	22961	POTATO CHIPS SALT [60GMS]	240	NOS	35.71	9399.54	SAVOURIES	SAVOURIES - CHIPS ITEMS [NOS]
710	107	POTATO SWEETS MIXTURE	2.23	KGS	491.07	1226.5	SAVOURIES	SAVOURIES - MIXTURE ITEMS [KGS]
711	24459	POTATO SWEETS MIXTURE( 150GM)	5	NOS	73.66	412.5	SAVOURIES	PACKED - SAVOURIES
712	22555	PREMIUM KAJU KATHILY	177.455	KGS	1238.1	230431.67	SWEETS	DRY FRUIT SWEETS [KGS]
713	22555	PREMIUM KAJU KATHILY	14.5	KGS	1523.81	18830.76	SWEETS	DRY FRUIT SWEETS [KGS]
714	40156	PREMIUM KAJU PISTHA ROLL	27.3	KGS	1523.81	43360	SWEETS	DRY FRUIT SWEETS [KGS]
715	40156	PREMIUM KAJU PISTHA ROLL	1.5	KGS	1857.14	2362.52	SWEETS	DRY FRUIT SWEETS [KGS]
716	8811	PUDHINA THOKKU (400GMS)	5	NOS	205.36	1150	SAVOURIES	RICE MIXES
717	8811	PUDHINA THOKKU (400GMS)	2	NOS	258.93	536.5	SAVOURIES	RICE MIXES
718	1121	PUDHINA RICE	26	NOS	85	2320.5	SOUTH INDIAN	VARIETY RICE
719	130	PULI KACHAL [400 GM]	32	NOS	205.36	7360	SAVOURIES	RICE MIXES
720	21013	PULIYOGARE MIX [200 GMS]	4	NOS	80.51	380	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
721	21013	PULIYOGARE MIX [200 GMS]	9	NOS	84.82	855	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
722	21013	PULIYOGARE MIX [200 GMS]	2	NOS	107.14	237.68	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
723	1078	PULKA SET	40	NOS	60	2520	TANDOORI	TANDOORI BREAD
724	1078	PULKA SET	377	NOS	65	25730.25	TANDOORI	TANDOORI BREAD
725	8922	RAGI DOSA MIX [500GM]	4	NOS	118.64	560	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
726	1160	RAJA PALAYAM KADAMBA KULLAMBU [400 GMS]	4	NOS	245.76	1160	SAVOURIES	RICE MIXES
727	1160	RAJA PALAYAM KADAMBA KULLAMBU [400 GMS]	1	NOS	309.32	365	SAVOURIES	RICE MIXES
728	24466	RAJA PALAYAM MIXTURE(100)	174	NOS	49.11	9570	SAVOURIES	PACKED - SAVOURIES
729	24325	RAJA PALAYAM MIXTURE(200GM)	234	NOS	98.21	25740	SAVOURIES	PACKED - SAVOURIES
730	24325	RAJA PALAYAM MIXTURE(200GM)	13	NOS	125	1508.55	SAVOURIES	PACKED - SAVOURIES
731	474	RAJAPALAYAM KARA KULAMBU [400 GMS]	20	NOS	194.92	4600.2	SAVOURIES	RICE MIXES
732	474	RAJAPALAYAM KARA KULAMBU [400 GMS]	2	NOS	245.76	462.92	SAVOURIES	RICE MIXES
733	22220	RAJAPALAYAM KARA SAV 200 GRAMS	61	NOS	89.29	6100	SAVOURIES	PACKED - SAVOURIES
734	22220	RAJAPALAYAM KARA SAV 200 GRAMS	12	NOS	111.61	1280.71	SAVOURIES	PACKED - SAVOURIES
735	41150	RAJAPALAYAM MINI MURUKKU 200GM	69	NOS	98.21	7590	SAVOURIES	PACKED - SAVOURIES
736	40661	RAJAPALAYAM PAKODA BOX	148	NOS	93.75	15540	SAVOURIES	PACKED - SAVOURIES
737	40661	RAJAPALAYAM PAKODA BOX	15	NOS	116.07	1601.92	SAVOURIES	PACKED - SAVOURIES
738	24522	RAJAPALAYAM PIDI KOZHUKKATTAI	33	NOS	50	1732.5	CHAT	CHAT SPECIALITIES
739	24522	RAJAPALAYAM PIDI KOZHUKKATTAI	18	NOS	55	1039.5	CHAT	CHAT SPECIALITIES
740	331	RAJAPALAYAM THATTAI	282	KGS	446.43	126900.41	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [KGS]
741	20699	RAJAPALAYAM THATTAI 250 GMS	519	NOS	111.61	62375.58	SAVOURIES	SAVOURIES - CASHEW ITEMS [NOS]
742	20699	RAJAPALAYAM THATTAI 250 GMS	45	NOS	138.39	5981.95	SAVOURIES	SAVOURIES - CASHEW ITEMS [NOS]
743	67	RASA BERRY	4.06	KGS	666.67	2842	SWEETS	BENGALI SWEETS [KGS]
744	135	RASA MALAI [EACH ]	614	NOS	44.76	28857.3	SWEETS	BENGALI SWEETS [NOS]
745	237	RASA PODI [100GMS]	7	NOS	66.67	490	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
746	237	RASA PODI [100GMS]	2	NOS	85.71	158.39	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
747	7368	RASA PODI [200 GM]	5	NOS	128.57	675	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
748	134	RASAGULLA [ EACH ]	129	NOS	35	4740.75	SWEETS	BENGALI SWEETS [NOS]
749	8923	RAVA DOSA MIX(200 GM)	6	NOS	50.85	360	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
750	8924	RAVA DOSA MIX[500GM]	10	NOS	122.88	1450	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
751	8924	RAVA DOSA MIX[500GM]	2	NOS	152.54	275.22	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
752	813	RAVA DOSAI	694	NOS	115	83800.5	SOUTH INDIAN	DOSA VARIETIES
753	813	RAVA DOSAI	86	NOS	120	8966.34	SOUTH INDIAN	DOSA VARIETIES
754	8925	RAVA IDLY MIX [200GM]	11	NOS	38.14	495.11	SAVOURIES	SAVOURIES-INSTANT MIX [PIECE]
755	878	RAVA KESARI	129	NOS	85	11513.25	SOUTH INDIAN	SOUTH INDIAN - SPECIALITIES
756	878	RAVA KESARI	37	NOS	100	3200.74	SOUTH INDIAN	SOUTH INDIAN - SPECIALITIES
757	859	RAVA KITCHADI	366	NOS	85	32665.5	SOUTH INDIAN	SOUTH INDIAN - SPECIALITIES
758	859	RAVA KITCHADI	131	NOS	95	11184.66	SOUTH INDIAN	SOUTH INDIAN - SPECIALITIES
759	39	RAVA LADDU	3.44	KGS	628.57	2270.4	SWEETS	GHEE SWEETS [KGS]
760	24261	RAVA LADDU [100 GMS]	8	NOS	52.38	440	SWEETS	GHEE SWEETS [NOS]
761	820	RAVA MASALA DOSAI	104	NOS	135	14742	SOUTH INDIAN	DOSA VARIETIES
762	830	RAVA ONION MASALA	5	NOS	145	761.25	SOUTH INDIAN	DOSA VARIETIES
763	22258	RIBBON PAKODA 200 GRMS	254	NOS	89.29	25395.01	SAVOURIES	PACKED - SAVOURIES
764	22258	RIBBON PAKODA 200 GRMS	33	NOS	111.61	3379.46	SAVOURIES	PACKED - SAVOURIES
765	101	RIBBON POKODA	255	KGS	446.43	114750.37	SAVOURIES	SAVOURIES - PAKODA ITEMS
766	1744	ROASTED PAPAD	1	NOS	35	36.75	NORTH INDIAN	ACCOMPANIMENTS
767	22073	ROSE MILK	258	NOS	57.14	15479.43	SWEETS	MILK SWEETS [NOS]
768	40962	ROSTED MILK BURFI	2.98	KGS	666.67	2086	SWEETS	MILK SWEETS [KGS]
769	1015	ROYAL FALOODA	16	NOS	180	3024	JUICE & MILK SHAKES	MILK SHAKES
770	1015	ROYAL FALOODA	155	NOS	185	30108.75	JUICE & MILK SHAKES	MILK SHAKES
771	396	SALT LASSI	1	NOS	55	57.75	JUICE & MILK SHAKES	FRESH JUICE
772	23490	SALTED AND JEERA BISCUITS 200 GMS	5	NOS	105.93	625	BAKERY	BISCUITS
773	804	SAMBAR IDLY	485	NOS	65	33101.25	SOUTH INDIAN	IDLY VARIETIES
774	804	SAMBAR IDLY	84	NOS	90	6789.01	SOUTH INDIAN	IDLY VARIETIES
775	7367	SAMBAR PODI [200GM]	19	NOS	104.76	2090	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
776	7367	SAMBAR PODI [200GM]	6	NOS	133.33	739.18	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
777	236	SAMBAR PODI[100GMS]	15	NOS	57.14	900	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
778	236	SAMBAR PODI[100GMS]	2	NOS	71.43	141	SAVOURIES	SAVOURIES-BLENDED SPICES [PIECE]
779	885	SAMBAR RICE	546	NOS	85	48730.5	SOUTH INDIAN	VARIETY RICE
780	885	SAMBAR RICE	291	NOS	100	26456.44	SOUTH INDIAN	VARIETY RICE
781	854	SAMBAR VADAI [1 PC]	611	NOS	60	38493	SOUTH INDIAN	VADAI VARIETIES
782	854	SAMBAR VADAI [1 PC]	92	NOS	80	6551.88	SOUTH INDIAN	VADAI VARIETIES
783	125	SAMOSA EACH	688	NOS	35	25284	CHAT	SAMOSA
784	125	SAMOSA EACH	56	NOS	40	2352	CHAT	SAMOSA
785	189	SATHUKUDI JUICE	154	NOS	100	16170	JUICE & MILK SHAKES	FRESH JUICE
786	189	SATHUKUDI JUICE	58	NOS	105	6394.5	JUICE & MILK SHAKES	FRESH JUICE
787	189	SATHUKUDI JUICE	297	NOS	110	34291.96	JUICE & MILK SHAKES	FRESH JUICE
788	924	SCHEZWAN FRIED RICE	15	NOS	225	3543.75	CHINESE	FRIED RICE
789	924	SCHEZWAN FRIED RICE	107	NOS	230	25840.5	CHINESE	FRIED RICE
790	924	SCHEZWAN FRIED RICE	34	NOS	260	7707.92	CHINESE	FRIED RICE
791	1052	SCHEZWAN NOODLES	6	NOS	225	1417.5	CHINESE	NOODLES
792	1052	SCHEZWAN NOODLES	64	NOS	230	15456	CHINESE	NOODLES
793	1052	SCHEZWAN NOODLES	11	NOS	275	2649.44	CHINESE	NOODLES
794	22924	SEEDAI (100 GMS)	264	NOS	44.64	13200	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [NOS]
795	21674	SEEDAI [200 GMS]	318	NOS	89.29	31800	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [NOS]
796	21674	SEEDAI [200 GMS]	30	NOS	111.61	3054.79	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [NOS]
797	41137	SEEP SEEDAI (200 GRM)	41	NOS	98.21	4510	SAVOURIES	PACKED - SAVOURIES
798	144	SEV PURI	44	NOS	100	4620	CHAT	CHAT SPECIALITIES
799	144	SEV PURI	33	NOS	105	3638.25	CHAT	CHAT SPECIALITIES
800	144	SEV PURI	2	NOS	120	218.53	CHAT	CHAT SPECIALITIES
801	939	SHAI PANEER	14	NOS	260	3822	NORTH INDIAN	SUBJEES
802	243	SHON HALWA	7.47	KGS	666.67	5229	SWEETS	GHEE SWEETS [KGS]
803	927	SINGAPORE  FRIED RICE	5	NOS	260	1017.8	CHINESE	FRIED RICE
804	22216	SIRAI PAKODA 200 GRAMS	47	NOS	89.29	4700	SAVOURIES	PACKED - SAVOURIES
805	22216	SIRAI PAKODA 200 GRAMS	4	NOS	111.61	423.9	SAVOURIES	PACKED - SAVOURIES
806	904	SOUTH INDIAN THALIMEALS	4539	NOS	160	762552	SOUTH INDIAN	SOUTH INDIAN - MEAL VARIETIES
807	904	SOUTH INDIAN THALIMEALS	1060	NOS	165	182345.63	SOUTH INDIAN	SOUTH INDIAN - MEAL VARIETIES
808	904	SOUTH INDIAN THALIMEALS	821	NOS	200	145404.56	SOUTH INDIAN	SOUTH INDIAN - MEAL VARIETIES
809	8467	SPL BADAM MILK	281	NOS	90.48	26695.68	SWEETS	MILK SWEETS [NOS]
810	21627	SPL BAKLAWA ASSORTED SWEETS	12.025	KGS	1333.33	16835	SWEETS	ASSORTED
811	71	SPL BENGALI	9.245	KGS	666.67	6471.5	SWEETS	BENGALI SWEETS [KGS]
812	40323	SPL COMBO BOX	5	NOS	294.64	1650	SAVOURIES	PACKED - SAVOURIES
813	1059	SPL DRY FRUIT HALWA	14.665	KGS	1047.62	16131.5	SWEETS	DRY FRUIT SWEETS [KGS]
814	7533	SPL DRY FRUIT SWEET	0.32	KGS	1523.81	512	SWEETS	DRY FRUIT SWEETS [KGS]
815	20186	SPL GIFT BOX [ 1200 ]	1	NOS	1142.86	1200	SWEETS	DRY FRUIT SWEETS [NOS]
816	356	SPL GIFT BOX [BIG]	1	NOS	666.67	700	SWEETS	GIFT PACK ASSORTED SWEETS
817	358	SPL GIFT BOX [SMALL]	3	NOS	380.95	1200	SWEETS	GIFT PACK ASSORTED SWEETS
818	313	SPL LADDU	43.29	KGS	685.71	31168.74	SWEETS	GHEE SWEETS [KGS]
819	313	SPL LADDU	3.5	KGS	838.1	2332.99	SWEETS	GHEE SWEETS [KGS]
820	1443	SPL MASALA CASHEWNUT [250GMS]	15	NOS	446.43	7500	SAVOURIES	SAVOURIES - CASHEW ITEMS [NOS]
821	442	SPL MINI HAND MURUKU	1.57	KGS	464.29	816.4	SAVOURIES	SAVOURIES - MURUKKU ITEMS [KGS]
822	51	SPL MYSORE PAK	194.285	KGS	666.67	135623.28	SWEETS	GHEE SWEETS [KGS]
823	51	SPL MYSORE PAK	17	KGS	819.05	11896.06	SWEETS	GHEE SWEETS [KGS]
824	1240	STEAM RICE	13	NOS	65	887.25	NORTH INDIAN	BASUMATI SPECIAL
825	83	STRAWBERRY	43.247	KGS	666.67	30272.9	SWEETS	BENGALI SWEETS [KGS]
826	40421	STRAWBERRY KAJU BURFI	18.385	KGS	1333.33	25739	SWEETS	DRY FRUIT SWEETS [KGS]
827	694	STRAWBERRY ICE CREAMS (PER SCOOP)	6	NOS	100	630	SPECIAL ICE CREAMS	SPECIAL ICE CREAMS
828	694	STRAWBERRY ICE CREAMS (PER SCOOP)	40	NOS	105	4410	SPECIAL ICE CREAMS	SPECIAL ICE CREAMS
829	1861	STRAWBERRY MILK SHAKE ( W O I )	6	NOS	140	882	JUICE & MILK SHAKES	MILK SHAKES
830	1861	STRAWBERRY MILK SHAKE ( W O I )	43	NOS	145	6546.75	JUICE & MILK SHAKES	MILK SHAKES
831	1036	STUFFED KULCHA	48	NOS	105	5292	TANDOORI	TANDOORI BREAD
832	1036	STUFFED KULCHA	31	NOS	130	3256.82	TANDOORI	TANDOORI BREAD
833	981	STUFFED PARATHA	50	NOS	115	6037.5	TANDOORI	TANDOORI VARIETIES
834	981	STUFFED PARATHA	14	NOS	135	1611.51	TANDOORI	TANDOORI VARIETIES
835	37	SURAT KARI	0.045	KGS	666.67	31.5	SWEETS	GHEE SWEETS [KGS]
836	858	SWEET  PONGAL	2	NOS	80	168	SOUTH INDIAN	SOUTH INDIAN - SPECIALITIES
837	419	SWEET APPAM	42	NOS	40	1764	SOUTH INDIAN	UTHAPPAM VARIETIES
838	419	SWEET APPAM	63	NOS	45	2976.75	SOUTH INDIAN	UTHAPPAM VARIETIES
839	8225	SWEET BREAD	59	NOS	45	2655	BAKERY	BREAD
840	1066	SWEET CORN MUSHROOM SOUP	6	NOS	90	567	CHINESE	SOUPS
841	860	SWEET KESARI	17	NOS	85	1517.25	SOUTH INDIAN	SOUTH INDIAN - SPECIALITIES
842	368	SWEET KOZHUKATTAI (2 Pcs)	111	NOS	45	5244.75	CHAT	CHAT SPECIALITIES
843	368	SWEET KOZHUKATTAI (2 Pcs)	200	NOS	50	10500	CHAT	CHAT SPECIALITIES
844	365	SWEET LASSI	32	NOS	90	3024	JUICE & MILK SHAKES	FRESH JUICE
845	365	SWEET LASSI	149	NOS	95	14862.75	JUICE & MILK SHAKES	FRESH JUICE
846	38	SWEET SOMAS	5.91	KGS	628.57	3900.6	SWEETS	GHEE SWEETS [KGS]
847	1114	SWEET SOUR VEG SOUP	3	NOS	115	362.25	CHINESE	SOUPS
848	24324	SWEET THUNDER.	5	NOS	375	2100	SAVOURIES	PACKED - SAVOURIES
849	1068	SWEETCORN VEG SOUP	69	NOS	115	8331.75	CHINESE	SOUPS
850	40178	SWEETEST BLISS	1	NOS	678.57	760	SAVOURIES	PACKED - SAVOURIES
851	24323	SWEETEST DESIRE.	6	NOS	330.36	2220	SAVOURIES	PACKED - SAVOURIES
852	24474	TAKE AWAY COFFEE 2 CUPS	107	NOS	118	11535.13	SOUTH INDIAN	HOT DRINKS
853	23555	TAKE AWAY COFFEE 4 CUPS	38	NOS	211	7140.23	SOUTH INDIAN	HOT DRINKS
854	23556	TAKE AWAY COFFEE 6 CUPS	4	NOS	285	866.4	SOUTH INDIAN	HOT DRINKS
855	24475	TAKE AWAY TEA 2 CUPS	47	NOS	118	5053.85	SOUTH INDIAN	HOT DRINKS
856	23558	TAKE AWAY TEA 4 CUPS	7	NOS	211	1343.99	SOUTH INDIAN	HOT DRINKS
857	883	TAMARIND RICE	24	NOS	85	2142	SOUTH INDIAN	VARIETY RICE
858	982	TANDOORI PARATHA	40	NOS	85	3570	SOUTH INDIAN	PARATHA VARIETIES
859	982	TANDOORI PARATHA	13	NOS	100	1088.33	SOUTH INDIAN	PARATHA VARIETIES
860	916	TANTOORI ROTI	19	NOS	60	1197	TANDOORI	TANDOORI BREAD
861	916	TANTOORI ROTI	233	NOS	65	15902.25	TANDOORI	TANDOORI BREAD
862	916	TANTOORI ROTI	58	NOS	80	3808.53	TANDOORI	TANDOORI BREAD
