Sno	Code	Item Name	Qty	UOM	Rate	Value()	MainCat	SubCat
465	8562	MADRAS MIXTURE 250GRAMS	643	NOS	122.77	88130.67	SAVOURIES	SAVOURIES - MIXTURE ITEMS [NOS]
466	8562	MADRAS MIXTURE 250GRAMS	58	NOS	151.79	8305.98	SAVOURIES	SAVOURIES - MIXTURE ITEMS [NOS]
467	8707	MADRAS MIXTURE 50 GRAMS	1868	NOS	24.55	48612.92	SAVOURIES	SAVOURIES - MIXTURE ITEMS [KGS]
468	475	MADURAI KOTHAMALLI [400 GM]	9	NOS	223.21	2250	SAVOURIES	RICE MIXES
469	20418	MAKKAN PEDA [KGS]	24.355	KGS	666.67	17048.5	SWEETS	GHEE SWEETS [KGS]
470	8	MALAI PEDA	63.552	KGS	666.67	44031.42	SWEETS	MILK SWEETS [KGS]
471	8	MALAI PEDA	2.75	KGS	819.05	1992.32	SWEETS	MILK SWEETS [KGS]
472	63	MALAI CHAM CHAM	9.295	KGS	666.67	6506.5	SWEETS	BENGALI SWEETS [KGS]
473	222	MALAI CHANDRAGULLA	1.165	KGS	666.67	815.5	SWEETS	BENGALI SWEETS [KGS]
474	955	MALAI KOFTHA	2	NOS	265	556.5	NORTH INDIAN	SUBJEES
475	955	MALAI KOFTHA	34	NOS	270	9639	NORTH INDIAN	SUBJEES
476	1204	MALAI ROLL (PCS)	10	PICES	33.33	350	SWEETS	BENGALI SWEETS [NOS]
477	62	MALAI SANDWICH	15.225	KGS	666.67	10657.5	SWEETS	BENGALI SWEETS [KGS]
478	889	MALLI RICE	21	NOS	85	1874.25	SOUTH INDIAN	VARIETY RICE
479	52	MALT MYSORE PAK	17.585	KGS	666.67	12309.5	SWEETS	GHEE SWEETS [KGS]
480	52	MALT MYSORE PAK	2	KGS	819.05	1446.76	SWEETS	GHEE SWEETS [KGS]
481	1067	MANCHOW SOUP	59	NOS	105	6504.75	CHINESE	SOUPS
482	1191	MANGO GINGER THOKKU [400 GMS]	9	NOS	205.36	2070	SAVOURIES	RICE MIXES
483	1191	MANGO GINGER THOKKU [400 GMS]	1	NOS	258.93	222.72	SAVOURIES	RICE MIXES
484	691	MANGO ICE CREAM (PER SCOOP)	6	NOS	100	630	SPECIAL ICE CREAMS	SPECIAL ICE CREAMS
485	691	MANGO ICE CREAM (PER SCOOP)	64	NOS	105	7056	SPECIAL ICE CREAMS	SPECIAL ICE CREAMS
486	186	MANGO JUICE	16	NOS	100	1680	JUICE & MILK SHAKES	FRESH JUICE
487	186	MANGO JUICE	4	NOS	105	441	JUICE & MILK SHAKES	FRESH JUICE
488	186	MANGO JUICE	78	NOS	110	9009	JUICE & MILK SHAKES	FRESH JUICE
489	40803	MANGO KOVA BURFI	11.08	KGS	666.67	7756	SWEETS	MILK SWEETS [KGS]
490	1866	MANGO MILK SHAKE	10	NOS	140	1470	JUICE & MILK SHAKES	MILK SHAKES
491	1866	MANGO MILK SHAKE	57	NOS	145	8678.25	JUICE & MILK SHAKES	MILK SHAKES
492	559	MANGO MILK SHAKE  (W O I )	1	NOS	140	147	JUICE & MILK SHAKES	MILK SHAKES
493	370	MANGO PICKLE [400GM]	20	NOS	196.43	4400	SAVOURIES	PICKLES
494	22957	MASALA CHIPS 100GMS	65	NOS	53.57	3900	SAVOURIES	SAVOURIES - CHIPS ITEMS [NOS]
495	22957	MASALA CHIPS 100GMS	53	NOS	66.96	3359.49	SAVOURIES	SAVOURIES - CHIPS ITEMS [NOS]
496	812	MASALA DOSAI	1533	NOS	115	185043.34	SOUTH INDIAN	DOSA VARIETIES
497	812	MASALA DOSAI	303	NOS	130	34601.02	SOUTH INDIAN	DOSA VARIETIES
498	344	MASALA GROUNDNUT [100 GM]	20	NOS	44.64	1000	SAVOURIES	PACKED - SAVOURIES
499	20497	MASALA NENDRAM CHIPS	8.485	KGS	571.43	5430.4	SAVOURIES	SAVOURIES - CHIPS ITEMS [KGS]
500	487	MASALA PAPAD	42	NOS	45	1984.5	NORTH INDIAN	ACCOMPANIMENTS
501	24302	MASALA PORI(150GM)	56	NOS	62.5	3916.5	SAVOURIES	PACKED - SAVOURIES
502	159	MASALA PURI	87	NOS	100	9135	CHAT	CHAT SPECIALITIES
503	159	MASALA PURI	39	NOS	105	4299.75	CHAT	CHAT SPECIALITIES
504	159	MASALA PURI	17	NOS	115	1692.24	CHAT	CHAT SPECIALITIES
505	1669	MATTAR PANEER	3	NOS	245	771.75	NORTH INDIAN	SUBJEES
506	1669	MATTAR PANEER	28	NOS	250	7350	NORTH INDIAN	SUBJEES
507	852	MEDHU VADAI	2642	NOS	40	110959.8	SOUTH INDIAN	VADAI VARIETIES
508	852	MEDHU VADAI	297	NOS	60	15866.33	SOUTH INDIAN	VADAI VARIETIES
509	21522	MILK BUTTER RUSK 200 GMS	8	NOS	66.67	560	BAKERY	BREAD
510	18	MILK HALWA	16.28	KGS	666.67	11396	SWEETS	MILK SWEETS [KGS]
511	18	MILK HALWA	1.5	KGS	819.05	1111.34	SWEETS	MILK SWEETS [KGS]
512	246	MILK PENI [250 GM]	33	NOS	138.1	4785.31	SWEETS	SP-SWEETS
513	246	MILK PENI [250 GM]	8	NOS	166.67	1259.67	SWEETS	SP-SWEETS
514	21867	MILK RUSK (200 GMS)	18	NOS	61.91	1170.18	BAKERY	BREAD
515	310	MINI JANGIRI	83	KGS	666.67	58100	SWEETS	GHEE SWEETS [KGS]
516	310	MINI JANGIRI	5.75	KGS	819.05	4403.47	SWEETS	GHEE SWEETS [KGS]
517	898	MINI LUNCH	1163	NOS	150	183172.5	SOUTH INDIAN	SOUTH INDIAN - MEAL VARIETIES
518	898	MINI LUNCH	1385	NOS	155	224188.13	SOUTH INDIAN	SOUTH INDIAN - MEAL VARIETIES
519	898	MINI LUNCH	746	NOS	185	123364.24	SOUTH INDIAN	SOUTH INDIAN - MEAL VARIETIES
520	40898	MINI MURKKU ONION FLAVOUR (200GM)	165	NOS	98.21	18150	SAVOURIES	SAVOURIES - MURUKKU ITEMS [NOS]
521	40899	MINI MURUKKU (200GM)	651	NOS	98.21	67202.77	SAVOURIES	SAVOURIES - MURUKKU ITEMS [NOS]
522	318	MINI PEPPER THATTAI	70	KGS	491.07	34649.9	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [KGS]
523	20696	MINI PEPPER THATTAI 250 GMS	212	NOS	122.77	29150	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [NOS]
524	20696	MINI PEPPER THATTAI 250 GMS	32	NOS	151.79	4368.2	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [NOS]
525	124	MINI SAMOSA	4.175	KGS	300	1477.95	CHAT	SAMOSA
526	317	MINI THATTAI	90	KGS	446.43	40500.13	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [KGS]
527	8572	MINI THATTAI 250 GMS	284	NOS	111.61	35500	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [NOS]
528	8572	MINI THATTAI 250 GMS	45	NOS	138.39	5839	SAVOURIES	SAVOURIES - THATTAI & SEEDAI [NOS]
529	2175	MINI THENKUZHAL [250 GM]	551	NOS	111.61	66375.58	SAVOURIES	SAVOURIES - SPECIALITIES [NOS]
530	2175	MINI THENKUZHAL [250 GM]	60	NOS	138.39	7888.58	SAVOURIES	SAVOURIES - SPECIALITIES [NOS]
