Sno	Code	ProductName	Qty	UOM	Rate	Value()	MainCat	SubCat
157	8447	SF.MINI IDLY	1505	NOS	0.263488	396.55	SEMI FINISHED	SF.IDLY VARITIES
158	8448	SF.MINI VADAI	450	NOS	3.398888	1529.5	SEMI FINISHED	SF.VADAI ITEMS
159	20546	SF.MIX VEG SAMBAR	15	KGS	63.605	954.08	SEMI FINISHED	SF.SAMBAR MEALS
160	8759	SF.MUSHROOM (CHINEESE) FRESH	2	KGS	165	330	SEMI FINISHED	SF.CHINEESE
161	23514	SF.NAVATHANIYAM KOOTU	49.5	KGS	35.438181	1754.19	SEMI FINISHED	SF.KOOTU - VEG
162	1608	SF.ONION CURD RAITHA	6	KGS	33.86	203.16	SEMI FINISHED	RAITHA VARIETIES
163	20552	SF.PEPPER RASAM	55	KGS	25.371818	1395.45	SEMI FINISHED	SF.RASAM
164	22808	SF.PONGAL (STAFF)	32	KGS	25.255	808.16	SEMI FINISHED	SF.STAFF ITMES
165	8718	SF.POORI	150	NOS	1.63	244.5	SEMI FINISHED	SF.BATTER
166	2577	SF.POORI MASALA	413	KGS	41.777554	17254.13	SEMI FINISHED	SF.KURMA ITEMS
167	20413	SF.POTATO KOOTU	52	KGS	51.843653	2695.87	SEMI FINISHED	SF.KOOTU - VEG
168	20404	SF.POTATO PORIYAL	180	KGS	38.325444	6898.58	SEMI FINISHED	SF.PORIYAL ITEMS
169	2503	SF.PUDHINA RICE	127	KGS	80.308503	10199.18	SEMI FINISHED	SF.VARIETY RICE
170	20412	SF.PUMPKIN KOOTU	47	KGS	29.645106	1393.32	SEMI FINISHED	SF.KOOTU - VEG
171	20545	SF.PUMPKIN SAMBAR	59	KGS	40.940084	2415.47	SEMI FINISHED	SF.SAMBAR MEALS
172	20580	SF.RADISH SAMBAR	73.5	KGS	38.393809	2821.95	SEMI FINISHED	SF.SAMBAR MEALS
173	21965	SF.RAJAPALAYAM PAYASAM	45.5	KGS	38.900109	1769.95	SEMI FINISHED	SF.SOUTH SWEETS
174	22672	SF.RAJAPALAYAM RASAM	24	KGS	34.2625	822.3	SEMI FINISHED	SF.RASAM
175	1647	SF.RAVA DOSA FLOOR	45.5	KGS	27.881868	1268.63	SEMI FINISHED	SF.BATTER
176	2511	SF.RAVA KESARI [SWEET]	476	KGS	71.617121	34089.75	SEMI FINISHED	SF.SOUTH SWEETS
177	1689	SF.RAVA KITCHADI	143	KGS	47.888811	6848.1	SEMI FINISHED	SF.KITCHADI VARIETY
178	2500	SF.SAMBAR RICE	1085	KGS	45.264746	49112.25	SEMI FINISHED	SF.VARIETY RICE
179	2544	SF.SAMBAR[MEALS]	15	KGS	26.755	401.32	SEMI FINISHED	SF.SAMBAR MEALS
180	1602	SF.SAMBAR[TIFFAN]	2167.5	KGS	42.415746	91936.13	SEMI FINISHED	SF.SAMBAR MEALS
181	23464	SF.SAMOSA (EACH)	40	NOS	11.6975	467.9	SEMI FINISHED-SWEET & SAV	SEMI FINISHED-CHAT
182	21975	SF.SEMIYA JAVARISI PAYASAM	56	KGS	56.748928	3177.94	SEMI FINISHED	SF.SOUTH SWEETS
183	1706	SF.SEMIYA KESARI	4.5	KGS	62.54	281.43	SEMI FINISHED	SF.SOUTH SWEETS
184	1521	SF.SEMIYA PAYASAM	63	KGS	54.154285	3411.72	SEMI FINISHED	SF.SOUTH SWEETS
185	20822	SF.SIRU KEERAI KOOTU	13	KGS	39.34	511.42	SEMI FINISHED	SF.KOOTU - VEG
186	20410	SF.SURAKKAI KOOTU	16	KGS	53.455	855.28	SEMI FINISHED	SF.KOOTU - VEG
187	2550	SF.SWEET APPAM	1020	NOS	5.219215	5323.6	SEMI FINISHED	SF.APPAM VARIETIES
188	8767	SF.SWEET KOZHUKATTAI	1160	NOS	3.560431	4130.1	SEMI FINISHED	SF.APPAM VARIETIES
189	2507	SF.SWEET PONGAL	49	KGS	59.828571	2931.6	SEMI FINISHED	SF.SOUTH SWEETS
190	2536	SF.TAMARIND RICE	135	KGS	49.29	6654.15	SEMI FINISHED	SF.VARIETY RICE
191	2520	SF.TOMATO [KETCHUP]	300	KGS	70	21000	SEMI FINISHED	SEMI FINISHED REST
192	20551	SF.TOMATO RASAM	24	KGS	25.1925	604.62	SEMI FINISHED	SF.RASAM
